City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
370,Santa Lucia,20,ES,2021-06-11 05:42:48,88,27.9117,-15.5407,66.94,20.71
371,Baoning,20,CN,2021-06-11 05:42:48,70,25.3378,110.026,87.66,4.47
372,Guane,94,CU,2021-06-11 05:42:48,88,22.2025,-84.0875,76.66,4.34
373,Nador,90,MA,2021-06-11 05:42:48,83,35.174,-2.9287,68.25,0.0
374,Dimapur,75,IN,2021-06-11 05:42:49,74,25.9,93.7333,84.18,3.44
375,Ventspils,0,LV,2021-06-11 05:42:49,100,57.3894,21.5606,66.13,0.0
376,Labuhan,42,ID,2021-06-11 05:42:49,58,-6.8844,112.2051,88.9,7.72
377,Kayan,100,MM,2021-06-11 05:42:50,94,16.9056,96.5631,82.54,8.34
378,Yatou,5,CN,2021-06-11 05:42:50,60,37.15,122.3833,77.11,4.85
379,Gazli,50,UZ,2021-06-11 05:42:50,14,40.1333,63.45,94.19,14.2
380,North Bend,40,US,2021-06-11 05:42:51,73,43.4065,-124.2243,55.92,3.44
381,Zhanaozen,74,KZ,2021-06-11 05:42:51,26,43.3,52.8,85.48,14.36
382,Sukhumi,68,GE,2021-06-11 05:42:51,67,43.0033,41.0153,69.75,4.68
383,Fairview,75,US,2021-06-11 05:42:30,61,40.8126,-73.999,65.57,5.75
384,Souillac,75,MU,2021-06-11 05:40:33,78,-20.5167,57.5167,77.36,14.97
385,Honningsvag,75,NO,2021-06-11 05:42:52,93,70.9821,25.9704,49.75,2.3
386,Issia,100,CI,2021-06-11 05:42:52,99,6.4922,-6.5856,71.55,1.23
387,Altea,2,ES,2021-06-11 05:42:52,91,38.5989,-0.0514,74.21,5.82
388,Vila Franca Do Campo,13,PT,2021-06-11 05:42:53,87,37.7167,-25.4333,59.41,0.47
389,Lagoa,22,PT,2021-06-11 05:42:53,95,39.05,-27.9833,64.6,4.72
390,Benguela,5,AO,2021-06-11 05:42:53,62,-12.5763,13.4055,74.59,2.98
391,Sungaipenuh,94,ID,2021-06-11 05:42:54,56,-2.0833,101.3833,79.23,4.47
392,Langen,0,DE,2021-06-11 05:42:54,72,49.9933,8.6728,67.71,1.01
393,San Quintin,33,MX,2021-06-11 05:42:54,85,30.4833,-115.95,66.43,15.1
394,Sergeyevka,46,KZ,2021-06-11 05:42:54,40,53.88,67.4158,65.35,9.37
395,Orange Cove,0,US,2021-06-11 05:42:55,31,36.6244,-119.3137,66.79,3.89
396,Rocha,4,UY,2021-06-11 05:40:11,89,-34.4833,-54.3333,46.96,7.02
397,San Rafael,46,AR,2021-06-11 05:42:46,59,-34.6177,-68.3301,48.97,4.45
398,Cap Malheureux,97,MU,2021-06-11 05:42:55,67,-19.9842,57.6142,77.47,11.99
399,Salym,53,RU,2021-06-11 05:42:56,32,60.0625,71.4789,65.57,3.78
400,Boyuibe,28,BO,2021-06-11 05:42:56,77,-20.4167,-63.2833,59.18,7.27
401,Victoria,76,HK,2021-06-11 05:38:22,76,22.2855,114.1577,93.25,1.99
402,Dodge City,1,US,2021-06-11 05:42:56,80,37.7528,-100.0171,81.25,8.99
403,Kenai,75,US,2021-06-11 05:38:52,55,60.5544,-151.2583,59.05,8.05
404,Geraldton,75,AU,2021-06-11 05:42:57,68,-28.7667,114.6,71.13,4.61
405,Kalevala,15,RU,2021-06-11 05:42:57,35,65.2,31.1667,72.3,8.68
406,Xinxiang,41,CN,2021-06-11 05:42:58,28,35.3089,113.8672,96.21,5.59
407,Sakaiminato,75,JP,2021-06-11 05:42:58,73,35.55,133.2333,75.13,11.5
408,Kargasok,32,RU,2021-06-11 05:42:58,38,59.0556,80.8572,59.09,4.29
409,Darhan,100,MN,2021-06-11 05:42:59,75,49.4867,105.9228,58.95,10.6
410,Portland,90,US,2021-06-11 05:38:12,67,45.5234,-122.6762,60.75,1.01
411,Meulaboh,92,ID,2021-06-11 05:42:59,55,4.1363,96.1285,86.79,5.21
412,Cayenne,90,GF,2021-06-11 05:39:35,84,4.9333,-52.3333,80.1,5.99
413,Sept-Iles,1,CA,2021-06-11 05:43:00,81,50.2001,-66.3821,39.63,8.05
414,Rafai,42,CF,2021-06-11 05:43:00,60,4.95,23.9167,76.87,1.88
415,Ostersund,0,SE,2021-06-11 05:43:00,68,63.1792,14.6357,70.61,9.22
416,Hirara,75,JP,2021-06-11 05:43:00,70,24.8,125.2833,88.07,11.5
417,Green Bay,1,US,2021-06-11 05:43:01,53,44.5192,-88.0198,75.97,6.91
